296;114;EL MORO
297;92;EL PALOMAR
298;115;EL PARAISO
299;107;EL PENSAMIENTO
300;38;EL PEREGRINO
301;4;EL TALAR
302;7;EL TEJAR
303;106;EL TRIGO
304;46;EL TRIUNFO
305;42;EL ZORRO
306;9;ELIZALDE, RUFINO DE
307;64;ELORDI
308;41;ELVIRA
309;116;EMMA
310;101;ENCINA
311;99;ENERGIA
312;117;ENSENADA
313;43;EPUMER ,EST.YUTUYACO
314;53;ESCALADA
315;8;ESCALADA, REMEDIOS DE
316;70;ESCOBAR, BELEN DE ,EST.ESCOBAR
317;15;ESCRIBANO, PEDRO N.
318;31;ESPARTILLAR
319;77;ESPIGAS
320;56;ESPORA
321;9;ESQUINA NEGRA
322;2;ESTELA
323;35;ESTHER
324;75;ESTOMBA
325;106;ESTRUGAMOU
326;9;ETCHEVERRY, ANGEL
327;16;EZEIZA, JOSE MARIA
328;74;EZPELETA
329;55;FAIR
330;42;FARO
331;7;FAUZON
332;8;FERNANDEZ, A.A.,PDA.
333;99;FERNANDEZ, JUAN N.
334;19;FERRARI, AGUSTIN ,PDA.
335;36;FERRARI, JOSE
336;45;FERRE
337;65;FIORITO
338;80;FLORENCIO VARELA
339;48;FLORIDA
340;48;FLORIDA
341;109;FORTABAT, ALFREDO ,EST.
342;23;FORTIN ACHA
343;58;FORTIN OLAVARRIA
344;20;FORTIN TIBURCIO
345;46;FORTIN VIGILANCIA
346;7;FRENCH
347;57;FULTON
348;51;GAHAN
349;9;GAMBIER ,EST.
350;11;GAMEN, PEDRO
351;15;GANDARA
352;75;GARCIA DEL RIO
353;17;GARCIA, MANUEL J.
354;57;GARDEY
355;70;GARIN
356;21;GARRE
357;43;GASCON, ESTEBAN AGUSTIN
358;116;GENERAL ALVEAR
359;45;GENERAL ARENALES ,EST.ARENALES
360;97;GENERAL BELGRANO
361;118;GENERAL CONESA
362;18;GENERAL DANIEL CERRI ,EST.GRL.CERRI
363;119;GENERAL GUIDO
364;120;GENERAL HORNOS
365;121;GENERAL JUAN MADARIAGA ,EST.G.MADARIAGA
366;122;GENERAL LA MADRID
367;120;GENERAL LAS HERAS ,EST.LAS HERAS
368;123;GENERAL LAVALLE
369;36;GENERAL MANSILLA ,EST.BARTOLOME BAVIO
370;52;GENERAL O'BRIEN
371;4;GENERAL PACHECO
372;38;GENERAL PINTO
373;83;GENERAL PIRAN
374;124;GENERAL RODRIGUEZ
375;104;GENERAL ROJO
376;2;GENERAL RONDEAU
377;108;GENERAL SAN MARTIN ,EST.SAN MARTIN
378;95;GENERAL VIAMONTE ,EST.LOS TOLDOS
379;64;GENERAL VILLEGAS
380;54;GERLI
381;38;GERMANIA ,EST.MAYOR ORELLANO
382;42;GIL
383;6;GIRODIAS
384;11;GIRONDO
385;28;GLEW
386;11;GNECCO
387;71;GOBERNADOR ARIAS
388;102;GOBERNADOR CASTRO
389;9;GOBERNADOR EDUARDO ARANA ,AP.
390;9;GOBERNADOR LUIS GARCIA ,AP.
391;80;GOBERNADOR MONTEVERDE
392;27;GOBERNADOR UDAONDO
393;5;GOBERNADOR UGARTE
394;58;GOMEZ, VALENTIN
395;125;GONDRA
396;9;GONNET, MANUEL B.
397;3;GONZALEZ CATAN
398;126;GONZALEZ CHAVES, ADOLFO ,EST.G.CHAVES
399;58;GONZALEZ MORENO
400;97;GORCHS
401;9;GORINA, JOAQUIN
402;72;GOROSTIAGA
403;89;GOUIN
404;31;GOYENA
405;10;GOYENECHE
406;81;GRACIARENA
407;33;GRAND BOURG
408;109;GRAVIÑA, RICARDO
409;18;GRUNBEIN
410;127;GRUNBEIN ,EST.EMP.
411;21;GUAMINI
412;11;GUANACO
413;26;GUERNICA
414;93;GUERRERO
415;13;GUERRICO
416;16;GUILLON, LUIS
417;42;GUISASOLA,JOSE A.
418;38;GUNTHER
419;73;GUTIERREZ, JUAN M.
420;92;HAEDO
421;128;HALE
422;56;HEAVY
423;105;HENDERSON
424;101;HEREFORD
425;9;HERNANDEZ, JOSE
426;105;HERRERA VEGAS
427;77;HINOJO
428;71;HIRSCH, MAURICIO
429;71;HORTENSIA
430;69;HUANGUELEN
431;73;HUDSON, GUILLERMO E.
432;43;HUERGO,DELFIN
433;5;HUETEL
434;87;HUNTER
435;92;HURLINGHAM
436;101;HUSARES
437;97;IBAÑEZ
438;128;IBARRA,JUAN F.
439;59;IGARZABAL
440;51;INDART, INES
441;107;INDIO RICO
442;9;INGENIERO ANDRES VILLANUEVA ,AP.
443;38;INGENIERO BALBIN
444;101;INGENIERO BEAUGEY
445;65;INGENIERO BUNGE
446;80;INGENIERO JUAN ALLAN
447;70;INGENIERO MASCHWITZ
448;102;INGENIERO MONETA
449;33;INGENIERO PABLO NOGUES
450;3;INGENIERO SANTIAGO BRIAN ,AP.
451;78;INGENIERO THOMPSON
452;18;INGENIERO WIHTE
453;39;INGENIERO WILLIAMS
454;121;INVERNADAS
455;52;IRALA
456;57;IRAOLA
457;42;IRENE
458;38;IRIARTE
459;5;ISLAS
460;77;ITURREGUI
461;92;ITUZAINGO
462;32;JEPPENER
463;17;JOFRE, TOMAS
464;121;JUANCHO
465;109;JUAREZ, BENITO ,EST.JUAREZ
466;20;JUNIN
467;3;JUSTO VILLEGAS ,PDA.
468;48;JUSTO, JUAN B. ,PDA.
469;18;KILOMERO 8 ,AP.
470;3;KILOMETRO 12 ,AP.
471;129;KILOMETRO 17 ,PDA.
472;92;KILOMETRO 19 ,AP.
473;80;KILOMETRO 27 ,AP.
474;65;KILOMETRO 34 ,AP.
475;80;KILOMETRO 36 ,AP.
476;80;KILOMETRO 40 ,AP.
477;4;KILOMETRO 40 ,AP.
478;100;KILOMETRO 45 ,AP.
479;70;KILOMETRO 48 ,AP.
480;100;KILOMETRO 53 ,AP.
481;117;KILOMETRO 54 ,PDA.
482;100;KILOMETRO 55 ,AP.
483;127;KILOMETRO 641 ,PDA.
484;18;KILOMETRO 9 ,AP.
485;26;KORN, ALEJANDRO
486;107;KRABBE
487;45;LA ANGELITA
488;35;LA BARRANCOSA
489;87;LA BEBA
490;6;LA CARRETA
491;122;LA COLINA
492;55;LA CONSTANCIA ,AP.KILOMETRO 360
493;40;LA COPETA ,EST.
494;9;LA CUMBRE ,PDA.
495;95;LA DELFINA
496;71;LA DORITA
497;104;LA EMILIA
498;51;LA INVENCIBLE
499;40;LA LARGA
500;52;LA LIMPIA
501;48;LA LUCILA
502;123;LA LUCILA DEL MAR
503;130;LA LUISA
504;40;LA MANUELA
505;47;LA MASCOTA ,EST.MASCOTA
506;99;LA NEGRA
507;21;LA NEVADA
508;7;LA NIÑA
509;27;LA NORIA
510;20;LA ORIENTAL
511;43;LA PALA
512;57;LA PASTORA
513;9;LA PLATA
514;6;LA PORTEÑA
515;69;LA PRIMAVERA
516;77;LA PROVIDENCIA
517;131;LA REFORMA
518;132;LA REJA
519;72;LA RICA
520;3;LA SALADA
521;71;LA SOFIA
522;63;LA SORTIJA
523;13;LA VIOLETA
524;18;LA VITICOLA
525;6;LA ZANJA
526;119;LABARDEN
527;3;LAFERRERE
528;43;LAGO EPECUEN
529;21;LAGUNA ALSINA ,EST.BONIFACIO
530;59;LAMARCA, EMILIO
531;55;LANGUEYU
532;8;LANUS
533;20;LAPLACETE
534;133;LAPRIDA
535;131;LARRE, SANTIAGO
536;107;LARTIGAU
