[-32.1234010000,-68.3872550000],
[-32.1277570000,-68.3855120000],
[-32.1302450000,-68.3802300000],
[-32.1309920000,-68.3743010000],
[-32.1313430000,-68.3682980000],
[-32.1310770000,-68.3623030000],
[-32.1304760000,-68.3563260000],
[-32.1299430000,-68.3503530000],
[-32.1297570000,-68.3443490000],
[-32.1287700000,-68.3384530000],
[-32.1290420000,-68.3325480000],
[-32.1317250000,-68.3273560000],
[-32.1322280000,-68.3237730000],
[-32.1325420000,-68.3216170000],
[-32.1301240000,-68.3163430000],
[-32.1279150000,-68.3109300000],
[-32.1277750000,-68.3094400000],
[-32.1276360000,-68.3079190000],
[-32.1277090000,-68.3049100000],
[-32.1296100000,-68.2992630000],
[-32.1338660000,-68.2962240000],
[-32.1356500000,-68.2908520000],
[-32.1344530000,-68.2850050000],
[-32.1324980000,-68.2794450000],
[-32.1299860000,-68.2742130000],
[-32.1271050000,-68.2692550000],
[-32.1255480000,-68.2668720000],
[-32.1239810000,-68.2644980000],
[-32.1224560000,-68.2620820000],
[-32.1209350000,-68.2596710000],
[-32.1180620000,-68.2547040000],
[-32.1153040000,-68.2496180000],
[-32.1127040000,-68.2444620000],
[-32.1114280000,-68.2386340000],
[-32.1112410000,-68.2326590000],
[-32.1115560000,-68.2309950000],
[-32.1118020000,-68.2296930000],
[-32.1123590000,-68.2267570000],
[-32.1138120000,-68.2209820000],
[-32.1150040000,-68.2152140000],
[-32.1147400000,-68.2091780000],
[-32.1137740000,-68.2033000000],
[-32.1120760000,-68.1975500000],
[-32.1119430000,-68.1917210000],
[-32.1125210000,-68.1887610000],
[-32.1131040000,-68.1857960000],
[-32.1140580000,-68.1798900000],
[-32.1135930000,-68.1739200000],
[-32.1126530000,-68.1680030000],
[-32.1121440000,-68.1650650000],
[-32.1116400000,-68.1621190000],
[-32.1107270000,-68.1562060000],
[-32.1099850000,-68.1502570000],
[-32.1083050000,-68.1445960000],
[-32.1061480000,-68.1391490000],
[-32.1041040000,-68.1336520000],
[-32.1019240000,-68.1282130000],
[-32.0996160000,-68.1228560000],
[-32.0985390000,-68.1201330000],
[-32.0974670000,-68.1174050000],
[-32.0951580000,-68.1120480000],
[-32.0927040000,-68.1067790000],
[-32.0901440000,-68.1015920000],
[-32.0864950000,-68.0973730000],
[-32.0825200000,-68.0935120000],
[-32.0793580000,-68.0889660000],
[-32.0783950000,-68.0828370000],
[-32.0819390000,-68.0792280000],
[-32.0809590000,-68.0735770000],
[-32.0776530000,-68.0690000000],
