[-27.5756290000,-65.0328390000],
[-27.5733110000,-65.0309960000],
[-27.5743050000,-65.0241600000],
[-27.5760050000,-65.0175980000],
[-27.5721450000,-65.0140580000],
[-27.5659050000,-65.0171890000],
[-27.5627730000,-65.0195860000],
[-27.5612930000,-65.0151240000],
[-27.5604490000,-65.0125800000],
[-27.5621070000,-65.0069800000],
[-27.5636830000,-65.0016540000],
[-27.5661430000,-64.9986830000],
[-27.5705570000,-64.9933620000],
[-27.5735200000,-64.9863030000],
[-27.5701400000,-64.9788130000],
[-27.5700570000,-64.9786270000],
[-27.5613880000,-64.9734620000],
[-27.5526150000,-64.9676340000],
[-27.5385690000,-64.9705210000],
[-27.5221480000,-64.9744770000],
[-27.5194460000,-64.9751270000],
[-27.5096190000,-64.9891760000],
[-27.5082930000,-64.9911920000],
[-27.5007290000,-65.0027260000],
[-27.5040730000,-65.0104300000],
[-27.5058620000,-65.0145510000],
[-27.5037820000,-65.0242060000],
[-27.4944960000,-65.0318060000],
[-27.4902610000,-65.0372110000],
[-27.4867950000,-65.0416220000],
[-27.4826160000,-65.0401280000],
[-27.4718510000,-65.0362910000],
[-27.4464770000,-65.0272670000],
[-27.4185420000,-65.0173220000],
[-27.3766020000,-65.0072990000],
[-27.3737140000,-65.0066090000],
[-27.3718020000,-65.0061490000],
[-27.3482620000,-64.9989720000],
[-27.3356280000,-64.9951270000],
[-27.3418670000,-64.9658980000],
[-27.3427910000,-64.9627520000],
[-27.3472790000,-64.9475200000],
[-27.3312580000,-64.9410180000],
[-27.3199090000,-64.9057000000],
[-27.3174440000,-64.8980260000],
[-27.3105420000,-64.8765350000],
[-27.2926160000,-64.8703570000],
[-27.2680120000,-64.8618690000],
[-27.2610540000,-64.8594760000],
[-27.2250840000,-64.8470840000],
[-27.2259610000,-64.8407860000],
[-27.2054120000,-64.8334750000],
[-27.1984660000,-64.8310090000],
[-27.1863570000,-64.8267030000],
[-27.1631600000,-64.8184690000],
[-27.1501090000,-64.8138350000],
[-27.1457010000,-64.8079830000],
[-27.1477100000,-64.8023410000],
[-27.1458740000,-64.8018490000],
[-27.1453000000,-64.8016890000],
[-27.1387920000,-64.7999200000],
[-27.0757150000,-64.7828790000],
[-27.0687020000,-64.7806480000],
[-27.0380450000,-64.7708980000],
[-27.0071930000,-64.7610840000],
[-27.0041900000,-64.7607620000],
[-26.9659420000,-64.7566110000],
[-26.9445720000,-64.7507010000],
[-26.9361090000,-64.7483660000],
[-26.9251590000,-64.7453330000],
[-26.8745910000,-64.7353720000],
[-26.8737600000,-64.7352320000],
[-26.8651380000,-64.7337760000],
[-26.8328110000,-64.7283220000],
[-26.8292860000,-64.7267070000],
[-26.8294890000,-64.7186680000],
[-26.8297800000,-64.7070720000],
[-26.8344530000,-64.6887730000],
[-26.7907780000,-64.6781320000],
[-26.7898920000,-64.6779130000],
[-26.7915390000,-64.6660980000],
[-26.7933230000,-64.6532890000],
[-26.7974460000,-64.6236270000],
[-26.7758580000,-64.6190820000],
[-26.7529810000,-64.6142650000],
[-26.7049210000,-64.6041650000],
[-26.6820570000,-64.5993580000],
[-26.6639180000,-64.5955520000],
[-26.6642280000,-64.5940390000],
[-26.6706980000,-64.5625040000],
[-26.6758860000,-64.5372380000],
[-26.6830820000,-64.5021170000],
[-26.6668500000,-64.5056860000],
[-26.6440190000,-64.5106970000],
[-26.6226640000,-64.5153840000],
[-26.6023910000,-64.5083640000],
[-26.5969640000,-64.5109660000],
[-26.5883130000,-64.5151200000],
[-26.5846720000,-64.5112300000],
[-26.5764380000,-64.5146940000],
[-26.5627730000,-64.5204420000],
[-26.5614690000,-64.5122480000],
[-26.5516590000,-64.5134660000],
[-26.5380060000,-64.5151640000],
[-26.5348100000,-64.5153830000],
[-26.5115810000,-64.5169810000],
[-26.5092820000,-64.5171410000],
[-26.4875460000,-64.5186730000],
[-26.4714150000,-64.5242470000],
[-26.4637550000,-64.5265730000],
[-26.4564420000,-64.5287990000],
[-26.4407670000,-64.5296770000],
[-26.4395450000,-64.5297380000],
[-26.4208180000,-64.5308000000],
[-26.4059120000,-64.5283200000],
[-26.3934920000,-64.5244800000],
[-26.3921700000,-64.5240740000],
[-26.3737930000,-64.5236060000],
[-26.3693460000,-64.5229460000],
[-26.3632230000,-64.5220470000],
[-26.3567030000,-64.5210940000],
[-26.3501270000,-64.5113140000],
[-26.3487070000,-64.5096990000],
[-26.3386610000,-64.4982760000],
[-26.3331470000,-64.4921730000],
[-26.3296770000,-64.4883350000],
[-26.3191960000,-64.4790140000],
[-26.3099910000,-64.4810810000],
[-26.3041330000,-64.4808820000],
[-26.2994300000,-64.4794270000],
[-26.2880130000,-64.4814450000],
[-26.2713680000,-64.4835760000],
[-26.2660660000,-64.4847460000],
[-26.2570940000,-64.4867240000],
[-26.2429260000,-64.4914180000],
[-26.2329040000,-64.4942990000],
[-26.2314100000,-64.4947260000],
[-26.2236750000,-64.4988480000],
[-26.2204340000,-64.5039220000],
[-26.2194900000,-64.5051100000],
[-26.2191350000,-64.5109440000],
[-26.2187960000,-64.5165390000],
[-26.2187610000,-64.5202690000],
[-26.2187310000,-64.5234280000],
[-26.2186890000,-64.5280710000],
[-26.2186360000,-64.5335060000],
[-26.2203580000,-64.5448850000],
[-26.2225670000,-64.5544830000],
[-26.2225750000,-64.5652060000],
[-26.2220690000,-64.5723930000],
[-26.2219030000,-64.5747720000],
[-26.2188370000,-64.5822630000],
[-26.2148620000,-64.5883040000],
[-26.2135910000,-64.5902420000],
[-26.2135340000,-64.5954730000],
[-26.2160990000,-64.6045460000],
[-26.2169730000,-64.6076370000],
[-26.2188950000,-64.6217040000],
[-26.2232880000,-64.6414080000],
[-26.2243820000,-64.6483370000],
[-26.2248280000,-64.6511460000],
[-26.2258680000,-64.6576550000],
[-26.2257770000,-64.6662860000],
[-26.2257150000,-64.6722100000],
[-26.2250550000,-64.6834040000],
[-26.2245990000,-64.6912060000],
[-26.2242140000,-64.6977260000],
[-26.2236130000,-64.7079140000],
[-26.2233140000,-64.7239940000],
[-26.2220760000,-64.7279240000],
[-26.2183190000,-64.7398790000],
[-26.2162820000,-64.7448130000],
[-26.2132370000,-64.7521900000],
[-26.2089810000,-64.7598940000],
[-26.2049110000,-64.7672670000],
[-26.2034450000,-64.7751530000],
[-26.2034310000,-64.7758030000],
[-26.2031870000,-64.7873990000],
[-26.2071960000,-64.7983070000],
[-26.2085450000,-64.8021020000],
[-26.2107620000,-64.8083130000],
[-26.2148770000,-64.8192160000],
[-26.2148820000,-64.8197670000],
[-26.2149850000,-64.8301980000],
[-26.2116590000,-64.8346090000],
[-26.2108960000,-64.8356270000],
[-26.2106880000,-64.8434150000],
[-26.2161510000,-64.8482090000],
[-26.2249410000,-64.8528030000],
[-26.2304750000,-64.8609290000],
[-26.2362290000,-64.8638350000],
[-26.2385750000,-64.8650100000],
[-26.2482090000,-64.8666760000],
[-26.2512370000,-64.8695640000],
[-26.2543380000,-64.8725140000],
[-26.2601130000,-64.8833830000],
[-26.2606300000,-64.8843590000],
[-26.2650300000,-64.9001270000],
[-26.2696530000,-64.9076060000],
[-26.2727160000,-64.9199130000],
[-26.2745850000,-64.9248510000],
[-26.2778340000,-64.9334000000],
[-26.2808150000,-64.9415820000],
[-26.2822750000,-64.9456000000],
[-26.2807800000,-64.9547670000],
[-26.2780180000,-64.9564830000],
[-26.2753360000,-64.9581410000],
[-26.2665760000,-64.9610650000],
[-26.2571590000,-64.9605330000],
[-26.2481220000,-64.9577110000],
[-26.2402470000,-64.9631280000],
[-26.2379390000,-64.9723680000],
[-26.2356700000,-64.9806240000],
[-26.2351650000,-64.9824640000],
[-26.2347990000,-64.9838010000],
[-26.2376600000,-64.9940640000],
[-26.2382040000,-64.9957180000],
[-26.2385730000,-64.9968480000],
[-26.2437350000,-65.0125470000],
[-26.2402620000,-65.0232170000],
[-26.2386650000,-65.0313560000],
[-26.2403990000,-65.0395680000],
[-26.2410420000,-65.0426300000],
[-26.2390880000,-65.0515130000],
[-26.2344430000,-65.0726490000],
[-26.2246160000,-65.1173530000],
[-26.2219900000,-65.1292830000],
[-26.2173330000,-65.1504210000],
[-26.2074820000,-65.1951130000],
[-26.2048450000,-65.2070370000],
[-26.2029390000,-65.2156740000],
[-26.2001770000,-65.2281710000],
[-26.1941520000,-65.2554320000],
[-26.1924490000,-65.2631460000],
[-26.1868820000,-65.2668700000],
[-26.1845680000,-65.2679670000],
[-26.1772740000,-65.2714110000],
[-26.1742740000,-65.2724870000],
[-26.1667610000,-65.2751820000],
[-26.1565160000,-65.2769030000],
[-26.1463730000,-65.2790160000],
[-26.1360920000,-65.2825260000],
[-26.1310150000,-65.2851690000],
[-26.1252090000,-65.2881970000],
[-26.1156240000,-65.2902140000],
[-26.1055260000,-65.2905100000],
[-26.1045510000,-65.2904960000],
[-26.0969060000,-65.2903550000],
[-26.0880340000,-65.2923570000],
[-26.0820740000,-65.2991270000],
[-26.0765930000,-65.3117850000],
[-26.0738790000,-65.3189660000],
[-26.0732420000,-65.3206490000],
[-26.0736040000,-65.3267710000],
[-26.0733530000,-65.3367210000],
[-26.0733230000,-65.3381160000],
[-26.0728660000,-65.3448670000],
[-26.0739760000,-65.3487760000],
